trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.95}",20,1,10.703732807933994,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.8, 'e': 0.8999999999999999}",25,-4,-109.62997211452223,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.8499999999999999}",25,-100,-363.8252594284652,"{0: 89, 1: 9, 2: 19, 3: 3, 4: 5}",0
4,False,"{'a': 0.8, 'e': 0.7999999999999998}",30,-42,-227.67951223545262,"{0: 53, 1: 4, 2: 9, 3: 2, 4: 4}",0
5,False,"{'a': 0.8, 'e': 0.7499999999999998}",30,-25,-151.10535512886247,"{0: 31, 1: 11, 2: 12, 3: 1, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.6999999999999997}",20,-11,-62.397727266934204,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.6499999999999997}",25,-77,-220.3177075510625,"{0: 80, 1: 5, 2: 9, 3: 4, 4: 4}",0
8,False,"{'a': 0.8, 'e': 0.5999999999999996}",25,-52,-80.31645465542064,"{0: 63, 1: 5, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.5499999999999996}",20,-26,-82.9213258713268,"{0: 37, 1: 2, 2: 3, 3: 3, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.4999999999999996}",20,-3,32.20867701918897,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.4499999999999996}",20,-6,-23.386747722639175,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.39999999999999963}",30,1,5.868509646187966,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.34999999999999964}",25,5,-67.1189573496927,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
14,False,"{'a': 0.8, 'e': 0.29999999999999966}",20,-4,2.185699205470267,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.24999999999999967}",20,-40,-22.93192772314539,"{0: 52, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.19999999999999968}",30,20,15.989012405959,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.1499999999999997}",30,10,29.025593452665053,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.09999999999999969}",20,5,-14.572616981086762,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.8, 'e': 0.049999999999999684}",20,13,13.46806119412712,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': -3.191891195797325e-16}",25,10,29.10399829352422,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,10,38.413206634657435,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,-8,-32.826453697643636,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,7,45.62082440502405,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,12,27.17593483411386,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,8,15.543083292458114,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,19,17.94365715586174,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,16,18.74209733519988,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,17,20.01427910485329,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,2,43.028703520821814,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,8,33.81234682253269,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
