trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.58, 'e': 1.0}",20,0,-98.0832845640541,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5599999999999999, 'e': 0.9801986733067553}",25,0,-122.19414612322865,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
3,False,"{'a': 0.5399999999999999, 'e': 0.9607894391523232}",35,0,-164.74654420313365,"{0: 18, 1: 3, 2: 13, 3: 0, 4: 1}",0
4,False,"{'a': 0.5199999999999999, 'e': 0.9417645335842487}",20,0,-171.76833739711668,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
5,False,"{'a': 0.4999999999999999, 'e': 0.9231163463866358}",25,15,-62.40985820771762,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.47999999999999987, 'e': 0.9048374180359595}",25,0,-192.86987693046865,"{0: 11, 1: 2, 2: 6, 3: 5, 4: 1}",0
7,False,"{'a': 0.45999999999999985, 'e': 0.8869204367171575}",30,0,-145.9250667222394,"{0: 19, 1: 1, 2: 5, 3: 4, 4: 1}",0
8,False,"{'a': 0.43999999999999984, 'e': 0.8693582353988059}",30,0,-127.74439272262995,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.4199999999999998, 'e': 0.8521437889662113}",20,0,-110.11090926973456,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.3999999999999998, 'e': 0.835270211411272}",20,0,-89.53024830102667,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.3799999999999998, 'e': 0.8187307530779818}",25,0,-112.2432425711089,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
12,False,"{'a': 0.35999999999999976, 'e': 0.8025187979624785}",20,0,-114.4827359998448,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.33999999999999975, 'e': 0.7866278610665535}",20,4,-72.15803852975161,"{0: 8, 1: 3, 2: 3, 3: 2, 4: 0}",1
14,False,"{'a': 0.31999999999999973, 'e': 0.7710515858035663}",30,0,-89.27256801609381,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.2999999999999997, 'e': 0.7557837414557255}",35,0,-117.88631426672805,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.2799999999999997, 'e': 0.7408182206817179}",25,0,-104.35034997403869,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.2599999999999997, 'e': 0.7261490370736909}",20,0,-179.64110618273511,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
18,False,"{'a': 0.23999999999999969, 'e': 0.7117703227626097}",20,0,-38.84694860374083,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.2199999999999997, 'e': 0.697676326071031}",30,0,-135.62582675234086,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.1999999999999997, 'e': 0.6838614092123558}",20,4,-83.08586970978928,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
21,False,"{'a': 0.1999999999999997, 'e': 0.6703200460356393}",25,0,-30.58590184583319,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.1999999999999997, 'e': 0.6570468198150567}",20,8,-12.60830919605143,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.1999999999999997, 'e': 0.6440364210831414}",20,0,-79.43640296776712,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
24,False,"{'a': 0.1999999999999997, 'e': 0.631283645506926}",20,11,-2.9422088519723664,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.1999999999999997, 'e': 0.6187833918061408}",25,0,-31.113916466606153,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.1999999999999997, 'e': 0.6065306597126334}",30,6,-14.512264738526033,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.1999999999999997, 'e': 0.5945205479701944}",20,10,7.999398606578357,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.1999999999999997, 'e': 0.5827482523739896}",20,0,-28.973956253843685,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.1999999999999997, 'e': 0.5712090638488149}",25,5,-95.85372981434197,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",1
30,False,"{'a': 0.1999999999999997, 'e': 0.559898366565402}",25,10,-19.630166117177318,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
