trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.32937494210498,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,8,-73.34727776529388,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.38021885133207,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.90523025930979,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.55685823419537,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.87719914057197,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-235.34124168699984,"{0: 9, 1: 4, 2: 7, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.31139970641269,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.332534836958008,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.28078277720611,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.74629016149103,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.13332186414254,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.01383395404866,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,2,-60.439738354520415,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.09396330328711,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.34620231854265,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-47.28674025859349,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.14529123034393,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.91447378625628,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,3,-251.28995327476144,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 5}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.3226828861637,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-212.92592523668546,"{0: 10, 1: 1, 2: 2, 3: 4, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-33.920900511078116,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.99139767567428,"{0: 12, 1: 3, 2: 5, 3: 5, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-141.58725687325352,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-199.46508716739928,"{0: 16, 1: 1, 2: 9, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-44.07758532076126,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,6,-83.93551671846761,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-174.8938881228411,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.95600344503929,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
